COIL,MT_FROM,MT_TO,DATE,DIF_TIPO_1,DIF_TIPO_2,DIF_TIPO_3,DIF_TIPO_4,DIF_TIPO_5,DIF_TIPO_6
403913,0.000000,1471.000000,"2019-04-03","0","0","0","1","0","0"
403914,39.000000,1474.000000,"2019-04-03","0","0","0","1","0","0"
404711,0.000000,1050.000000,"2019-04-03","0","0","1","0","0","0"
404725,0.000000,1416.000000,"2019-04-03","0","0","1","0","0","0"
405612,0.000000,1400.000000,"2019-04-03","0","0","1","0","0","0"
405613,0.000000,900.000000,"2019-04-03","0","0","1","0","0","0"
405625,0.000000,1727.000000,"2019-04-03","0","0","1","0","0","0"
405813,0.000000,1412.000000,"2019-04-03","0","0","1","0","0","0"
405910,0.000000,1070.000000,"2019-04-03","0","0","1","0","0","0"
404613,0.000000,911.000000,"2019-04-04","0","0","1","0","0","0"
405926,0.000000,1391.000000,"2019-04-04","0","0","1","1","0","0"
391619,322.000000,695.000000,"2019-04-05","0","0","0","1","0","0"
403318,0.000000,1083.000000,"2019-04-05","1","0","1","0","0","0"
403337,0.000000,1053.000000,"2019-04-05","0","0","1","0","0","0"
403338,500.000000,1015.000000,"2019-04-05","1","0","1","0","0","0"
403338,0.000000,499.000000,"2019-04-05","0","0","1","0","0","0"
404717,68.000000,78.000000,"2019-04-05","1","0","0","0","0","0"
405814,0.000000,711.000000,"2019-04-05","0","1","0","0","1","0"
405823,0.000000,1094.000000,"2019-04-05","0","0","1","0","0","0"
405830,0.000000,200.000000,"2019-04-05","1","0","1","0","0","0"
405830,201.000000,1090.000000,"2019-04-05","0","0","1","0","0","0"
405830,250.000000,350.000000,"2019-04-05","0","1","1","0","0","0"
405918,700.000000,845.000000,"2019-04-05","0","1","0","0","1","0"
405918,0.000000,699.000000,"2019-04-05","0","0","0","0","1","0"
405920,0.000000,1142.000000,"2019-04-05","0","0","1","0","0","0"
406916,0.000000,961.000000,"2019-04-05","0","0","1","1","0","1"
406925,0.000000,100.000000,"2019-04-05","1","1","1","1","0","0"
406925,101.000000,150.000000,"2019-04-05","1","0","1","0","0","0"
406925,151.000000,1415.000000,"2019-04-05","0","0","1","0","0","0"
407117,0.000000,2145.000000,"2019-04-05","0","0","1","0","0","0"
403733,301.000000,1802.000000,"2019-04-06","0","0","1","0","0","0"
403733,1.000000,300.000000,"2019-04-06","0","0","1","1","0","0"
404724,0.000000,1368.000000,"2019-04-06","0","0","1","0","0","0"
406920,181.000000,197.000000,"2019-04-06","0","0","1","1","0","1"
406921,221.000000,449.000000,"2019-04-06","0","0","1","0","0","0"
406921,450.000000,2142.000000,"2019-04-06","0","1","1","0","0","0"
406924,0.000000,700.000000,"2019-04-06","0","0","1","1","0","1"
406924,701.000000,2212.000000,"2019-04-06","0","0","1","1","0","0"
406926,0.000000,1448.000000,"2019-04-06","0","0","1","0","0","0"
407116,0.000000,1422.000000,"2019-04-06","0","0","1","0","0","0"
407120,0.000000,1411.000000,"2019-04-06","0","0","1","0","0","0"
407130,0.000000,2181.000000,"2019-04-06","0","0","1","1","0","0"
391623,0.000000,1297.000000,"2019-04-07","0","0","1","0","0","0"
406012,0.000000,799.000000,"2019-04-07","0","0","1","1","0","0"
406012,800.000000,1029.000000,"2019-04-07","0","0","1","1","1","0"
406429,0.000000,2127.000000,"2019-04-07","0","0","1","0","0","0"
406911,200.000000,1912.000000,"2019-04-07","0","1","0","0","0","0"
406917,0.000000,867.000000,"2019-04-07","0","0","1","0","0","0"
407113,0.000000,90.000000,"2019-04-07","1","0","0","0","0","0"
407132,350.000000,877.000000,"2019-04-07","0","0","1","0","0","0"
407135,0.000000,2382.000000,"2019-04-07","0","0","1","0","0","0"
407137,0.000000,2934.000000,"2019-04-07","0","1","1","1","1","0"
407414,0.000000,1420.000000,"2019-04-07","0","0","1","0","0","0"
407415,600.000000,665.000000,"2019-04-07","0","1","1","1","0","0"
407415,0.000000,1407.000000,"2019-04-07","0","0","1","1","0","0"
