COIL,CLUSTER,DIF_TIPO_1_max,DIF_TIPO_2_max,DIF_TIPO_3_max,DIF_TIPO_4_max,DIF_TIPO_5_max,DIF_TIPO_6_max
392633,1,0,0,1,1,0,0
392634,4,0,0,1,1,0,0
392636,4,0,0,0,0,0,0
392814,3,0,0,0,0,0,0
392824,3,0,0,1,1,0,0
392915,4,0,0,1,1,0,0
392916,4,0,0,1,1,0,0
392918,4,1,0,1,1,0,0
392920,4,0,0,0,0,0,0
392921,4,0,0,0,0,0,0
392929,4,1,0,1,1,0,0
392933,4,0,0,0,1,1,0
392937,4,0,0,0,0,0,0
392938,4,0,0,0,0,0,0
392939,4,0,0,0,0,0,0
392940,4,0,0,0,0,0,0
392941,4,0,0,0,1,1,0
392943,4,0,0,0,0,0,0
392947,4,0,0,1,0,0,0
392949,0,0,0,0,0,0,0
392952,1,0,0,0,0,0,0
393013,3,0,0,1,0,0,0
393016,3,0,0,0,0,0,0
393017,1,0,0,0,0,0,0
393035,3,0,0,0,0,0,0
393211,3,0,0,0,0,0,0
393212,3,0,0,1,0,0,0
393213,3,0,0,0,1,0,0
393214,3,0,0,0,0,0,0
393215,3,0,1,1,0,0,0
393216,3,0,1,1,0,0,0
393219,3,0,0,0,0,0,0
393220,3,0,0,0,0,0,0
393221,3,0,0,0,0,0,0
393222,3,0,0,0,0,0,0
393223,3,0,0,0,0,0,0
393225,3,0,0,0,0,0,0
393227,3,0,0,0,0,0,0
393230,3,0,0,0,0,0,0
393253,3,0,0,0,0,0,0
393255,3,0,0,0,0,0,0
393514,4,0,0,1,1,0,0
393516,4,0,0,0,1,0,0
393517,4,0,0,0,1,0,0
393518,4,0,0,0,0,0,0
393519,4,0,0,0,0,0,0
393520,4,0,0,0,0,0,0
393521,4,0,0,0,0,0,0
393523,4,0,0,0,0,0,0
393526,4,0,0,0,0,0,0
393528,4,0,0,0,0,0,0
393529,4,0,0,1,1,0,0
393530,4,1,0,1,1,0,0
393531,4,0,0,1,1,0,0
393532,4,0,0,0,1,0,0
393533,4,1,0,1,1,0,0
393534,4,0,0,1,1,0,0
393547,3,0,0,0,0,0,0
393611,3,0,0,0,0,0,0
393817,4,0,0,0,1,0,0
393818,3,0,0,0,0,0,0
393825,3,0,0,0,0,0,0
393831,3,0,0,0,1,0,0
393833,3,0,0,0,1,0,0
393834,3,0,0,0,0,0,0
393839,3,0,0,0,0,0,0
394010,5,0,0,1,0,0,0
394011,3,0,0,0,0,0,0
394023,3,0,0,1,0,0,0
394210,3,0,0,1,1,0,0
394214,3,0,0,0,0,0,0
394230,3,0,0,0,0,0,0
394311,4,0,0,1,1,0,0
394313,3,0,0,0,0,0,0
394314,4,0,0,1,1,0,0
394316,4,1,0,1,1,0,0
394317,1,0,0,1,0,0,0
394318,5,0,0,0,0,0,0
394319,4,0,0,0,0,0,0
394320,4,0,0,0,0,0,0
394321,4,0,0,1,0,0,0
394322,4,0,0,1,0,0,0
394323,0,0,0,0,0,0,0
394324,4,0,0,0,0,0,0
394326,4,0,0,1,0,0,0
394330,4,0,0,0,0,0,0
394331,4,0,0,0,0,0,0
394332,1,0,0,0,0,0,0
394333,4,0,0,0,0,0,0
394334,4,0,1,1,1,0,0
394335,4,0,1,1,1,0,0
394341,4,0,0,1,1,0,0
394342,4,0,0,0,0,0,0
394517,1,0,0,0,0,0,0
394526,3,0,0,0,0,0,0
394531,5,0,0,0,0,0,0
